date,volume,number,sentences,count,id,likely_pos,code
9/24/10,11,39,"among other things, taylor learned that chinese awaiting a landing were often detained at the detention sheds of the mail dock for weeks, but that within the last year chinese have been landed by order of north before the inspectors had had an opportunity of making proper investigations.",48,s2223,TRUE,0
4/14/34,35,15,"over five years have passed since i introduced that first bill, the first ever presented to congress to exclude them from this country, and 1 have been consistently and persistently following it up ever since.",35,s8108,TRUE,1
9/24/10,11,39,he named a chinese couple in san jose as his parents for proof of his nativity.,16,s2225,TRUE,0
11/1/41,42,44,the convention noted and approved the beneficial results of the racketeer purge during the past year and urged every national and international union which has not yet done so to adopt laws and regulations pres enting criminals from holding union office.,41,s8968,TRUE,0
9/24/10,11,39,"your office has for some time been in possession of information concerning easy methods by which asiatics obtain admission through this port of san francisco, but much of it being of a confidential nature, can only be used in an official investigation.",42,s2239,TRUE,1
9/24/10,11,39,"i deem it my duty to say to you that the same reasons that have operated to cause the chinese exclusion law to be enacted; that have been the cause of the agreement between this government and the government of japan, which is being honorably kept, exist with renewed and redoubled force regarding the immigration of hindus.",57,s2205,TRUE,1
4/22/33,34,16,"“however, temporary reverses sometimes have a salutary effect and stir complaisant security into activity and preparedness] if we can profit by this object lesson in newspapers publishers’ dollar diplomacy, when their employees are working only part time or not at all, and are faced with the alternative of “accept or starve,” the lesson will not have been in vain.",59,s7920,TRUE,0
4/22/33,34,16,the alternative is to sit down and wait until the rising distress of the vast army of unemployed overwhelms our domestic tranquility.,22,s8011,TRUE,0
7/28/28,29,30,"under the new law, approved by the president may 29. 1928, non-quota status is available to an american-born woman who has lost her citizenship by marriage to an alien prior to september 22, 1922, if she has since been widowed; also, to the husband of an american woman citizen, if married before june 1, 1928; also, to the wife and unmarried child under 21 years of age of an american citizen.",73,s6894,TRUE,1
9/24/10,11,39,"if it is not possible to prevent the escape of aliens from the station on angel island, in the league’s opinion one of the strong arguments for its existence is without force.",33,s2178,TRUE,1
9/24/10,11,39,“the league has supported the policy of having the immigration station on angel island principally for two reasons: to prevent the escape of aliens and to stop the coaching that was practiced when the detention shed was on the pacific mail dock.,42,s2177,TRUE,1
7/28/28,29,30,"in this, as in every other legislative proposition, we want to employ a j rule of reason which will do no one, citizen or alien, irremediable injury, but will work to the advantage of the people of the united states, tending to homogeneity, and advancing the interests most especially of those w r ho labor with their hands.”",58,s6906,TRUE,0
4/20/01,2,12,"the competitors of the white cigarmakers on this coast are the chinamen, and none know better tnan californians that everything connected with the chinese means the degradation of wages.",29,s558,TRUE,1
9/24/10,11,39,"is it not a discrimination against the japanese that all japanese arriving here are subjected to a rigid investigation, while the distinctly inferior hindu is admitted with the same facility that the high class british, scandinavian and other european immigrant receives?",41,s2160,TRUE,1
8/23/19,20,34,"the bolsheviki have in fact lost since last september about one-third of the russian territory that they controlled at that time, and they have lost nearly all of this at the hands of russian workingmen, notably those in the armies of the native russian leaders kolchak, denikine and petlura.",50,s4417,TRUE,0
8/21/26,27,34,it is also indicated that the japanese bureau of emigration expects to send 5000 adult emigrants to sao paulo during the fiscal year 1926-1927.,25,s6496,TRUE,1
4/22/68,68,2,"see you later.compliments palace cafe ""one of the oldest in san francisco serving the best american-chinese food"" 1843 fillmore st.",22,s11212,TRUE,0
5/6/11,12,18,"mcnamara was kidnaped, and those who forcibly dragged him across a continent were criminals, and this whether or not this man is guilty of the crime with which he is charged.",31,s2614,TRUE,0
9/24/10,11,39,it was generally supposed that for several months past he had been engaged in gathering data in the cases of substituted tintypes of chinese in the clerk's office of the united states district court.,35,s2216,TRUE,0
2/25/28,29,8,"will you, therefore, please forward to this office any information you may have regarding filipino laborers residing in your vicinity.",20,s6795,TRUE,0
2/13/84,84,3,"when you see a picket on both gates, don’t let someone persuade you to go through a picket line by telling you that it is illegal for them to be picketing there when, in fact, there are many times it is legal to picket both gates.",47,s12225,TRUE,0
2/25/28,29,8,"the legislative representatives of the american federation will work for a bill to exclude filipino laborers, but the california labor movement must supply most of the data and the arguments necessary to convince congress that such legislation is desirable.",39,s6785,TRUE,1
9/24/10,11,39,"to the officers and members of the asiatic exclusion league, gentlemen : since the last meeting your executive board has communicated with 136 farmers’ unions throughout the state, and thus far has received 91 replies, the same advising the league that the farmer does not favor asiatic labor, and that orientals are not essential for the development of the orchard and farm; and further, that white labor is preferable.",68,s2126,TRUE,1
6/4/10,11,23,"in los angeles, his native town, he has a very unsavory record as a union hater.",16,s2079,TRUE,0
9/24/10,11,39,"“north could not be held responsible for the fact that clift was getting the cream of the chinese business, hut as time wore on, especially since the office was removed from this city to angel island, certain peculiar things happened which led the department to order taylor to make a secret investigation.",52,s2222,TRUE,1
9/24/10,11,39,"“you will perhaps agree with me that one of the most pressing, as well as most delicate questions is that of asiatic immigration, over which your department has jurisdiction.",29,s2202,TRUE,1
1/26/24,25,4,"“this is a final determination of this crop contract case,” the attorney general stated, “and it means the alien land laws will become operative in every respect.”",27,s6154,TRUE,0
11/1/41,42,44,"“although the american federation of labor has no authority to discipline officers of international unions, or locals affiliated with or the membership affiliated with such locals, it has nevertheless called upon national and international organizations to take prompt and decisive action, when men of this kind are found, to discipline offenders within their organizations and to rid themselves of criminals, racketeers, dishonest persons and violators of law.",67,s8975,TRUE,0
11/21/03,4,43,"it might not be amiss for our fellow trade unionists of alabama to place upon their unfair list those public officials primarily responsible for this perversion of law and invasion of constitutional liberty, and thus make a test of its invalidity.",41,s1150,TRUE,0
1/20/23,24,3,legislators should taboo religious dogmarumors are persistent that the forces favoring blue laws are marshaling their cohorts for an invasion of the capital during the present session of the legislature.,30,s5683,TRUE,0
7/28/28,29,30,"another amendment “the new law further alters the preference provisions of the immigration act of 1924 and in part satisfies the clamor that has been heard for the past four years with reference to the separation of alien fai.t]jj.i«js.,.",43,s6896,TRUE,1
4/14/34,35,15,"metzler. who were found guilty of illegally abandoning work on a $l,loo contract for installation of plumbing equipment in mrs.",21,s8101,TRUE,0
9/24/10,11,39,within six months after his arrival he had closed this port effectually against the admission of chinese laborers seeking to enter by false pretenses.,24,s2230,TRUE,1
9/27/13,14,39,"316 fourteenth street, san francisco, cal.special meeting asiatic exclusion league.a special meeting of the asiatic exclusion league will be held, according to call of the executive board, next monday evening, september 29, in the building trades temple.",39,s3248,TRUE,1
1/10/20,21,2,"underfeeding not only means hungry children, but it makes criminals and cripples and crazy grown-ups.",16,s4515,TRUE,0
9/24/10,11,39,"“sir:—at the meeting of the executive board of the asiatic exclusion league, held saturday, july 9, 1910, the secretary was instructed to communicate with your office relative to the admission of polygamous hindus.",34,s2182,TRUE,1
10/30/20,21,44,"i believe it to be in the best interests of the people of this city that amendments 28, 29 and 30 should be placed in the charter of this city and county, thus enabling san francisco, the queen city and distributing point of the west, to forge ahead by leaps and bounds, as it undoubtedly will if we, who love it best, only give it a chance.brief digest of salient points in california anti-alien land bill%the alien land law appearing as “no. 1” on the state direct legislation ballot to be voted upon this november, has been called one of save californiastop absorption of state’s best acreage by japanese through leases and evasions of law alien land law.",122,s4815,TRUE,1
2/19/44,45,8,conceding that news of the japanese atrocities had unleashed a storm of anger and protest.,15,s9314,TRUE,0
4/14/34,35,15,"the filipinos objected to it, and i had to leave no stone unturned, from high officials on down, to secure its retention in the present bill as section 8.",29,s8110,TRUE,0
9/24/10,11,39,there is no reason for any discrimination between the different asiatic peoples in so far as this country i> concerned.’,20,s2148,TRUE,1
9/24/10,11,39,"after a brief informal discussion of the problem of asiatic immigraton on the pacific coast, the mayor submitted the following typewritten statement, receiving assurances that the question would be thoroughly investigated: “mr.",32,s2199,TRUE,1
9/24/10,11,39,"the chinese, who are not slow to guess at what is behind a screen, preferred clift because they thought he had great influence with north.",25,s2220,TRUE,0
10/9/20,21,41,larger interest than ever is being shown in the open forum and a large crowd is expected to be there to ask questions.aliens flock to u.,27,s4654,TRUE,0
