date,volume,number,sentences,count,id,likely_pos,sample_type,code
6/8/46,47,23,"evening calls to hospitals - homes - offices by appointment only phones: west 4307 and west 6710 405 baker street, at hayes near s.",22,s10044,FALSE,random,0
1/18/47,48,3,the letter asks that immediate retractions be made in the daily press that accused the pickets of the department store employees of being the perpetrators of this alleged acid spraying crime.,31,s10090,FALSE,random,0
11/15/47,48,46,with this in mind they were very precise in defining and explaining what an urgency measure is not and what it is.,22,s10146,FALSE,random,0
7/10/48,49,28,"that is, it was a hearing in the sense that three officials listened to him.",15,s10337,FALSE,random,0
7/10/48,49,28,"gaffney, assemblyman, 26th district, addressed the delegates and thanked them for their support in the past election.",17,s10399,FALSE,random,0
1/1/49,50,1,"according to the heller committee, a 'healthful and decent standard of living for a worker, his wife and two children requires an income of $78.50 a week.",28,s10440,FALSE,random,0
1/1/49,50,1,"impartial observers at the election were several hens stationed on roosts who clucked occasionally during the balloting.special meeting of lathers n 0.65there will be a special meeting of lathers 65, for the purpose of seeing motion pictures of the trade and a discussion of matters of importance to the trade, to be held wednesday night, january 5, 1949, in the building trades temple, 200 guerrero street, at 8 p.m. sharp, business representative james f.",77,s10482,FALSE,random,0
1/5/51,52,1,labor is ready to go more than half-way with management and farmers to support defense programs. he sai l.,20,s10656,FALSE,random,0
1/5/51,52,1,"join now and g* make your 1951 christmas a prosperous one. g/t federal deposit insurance corporation now insures your deposi/s up to sic,ooo the san francisco bank § savings incorporated feb.",33,s10678,FALSE,random,0
3/2/51,52,9,* ♦ * union stand forces aliens qff work state law forbidding hiring of aliens on public works projects was enforced in the sun jose area last week and two yugoslavian displaced persons were ordered aff a sanitation project by deputy state labor commissioner william j.,43,s10705,TRUE,keyword,1
3/2/51,52,9,* ♦ * union stand forces aliens qff work state law forbidding hiring of aliens on public works projects was enforced in the sun jose area last week and two yugoslavian displaced persons were ordered aff a sanitation project by deputy state labor commissioner william j.,43,s10705,TRUE,keyword,1
3/2/51,52,9,the state anti-alien law also provides a possible fine of $lo a day per man for each alien employed on projects financed by public monies.,26,s10711,TRUE,keyword,1
3/2/51,52,9,the state anti-alien law also provides a possible fine of $lo a day per man for each alien employed on projects financed by public monies.,26,s10711,TRUE,keyword,1
3/2/51,52,9,"(“pat”) brown for an opinion on the case, having testified that they believed the men’s status as displaced persons exempt them from the antialien law.",26,s10712,TRUE,keyword,1
3/2/51,52,9,"(“pat”) brown for an opinion on the case, having testified that they believed the men’s status as displaced persons exempt them from the antialien law.",26,s10712,TRUE,keyword,1
4/13/51,52,15,"this meeting was originally scheduled to be held in reno, nevada, but all reservations were cancelled when the legislature of that state passed a drastic piece of anti-labor legislation.",30,s10825,FALSE,random,0
8/25/58,58,10,"“i recognize that, as an employer representative, it is quite unusual for me to be among those who are opposed to the right-to-work proposal,” he told the teamster lawyers.",31,s10947,FALSE,random,0
