"title","company","url","body","type"
"Technical Support Engineer","Circle","https://www.fintechcareers.com/job/41427/technical-support-engineer-dublin-3/","Circle (NYSE: CRCL) is one of the world’s leading internet financial platform companies, building the foundation of a more open, global economy through digital assets, payment applications, and programmable blockchain infrastructure. Circle’s platform includes the world’s largest regulated stablecoin network anchored by USDC, Circle Payments Network for global money movement, and Arc, an enterprise-grade blockchain designed to become the Economic OS for the internet. Enterprises, financial institutions, and developers use Circle to power trusted, internet-scale financial innovation. Learn more at circle.com.

What You’ll Be Part Of

What You’ll Be Part Of

Circle is committed to visibility and stability in everything we do. As we grow as an organization, we’re expanding into some of the world’s strongest jurisdictions. Speed and efficiency are motivators for our success and our employees live by our company values: High Integrity, Future Forward, Multistakeholder, Mindful, and Driven by Excellence. We have built a flexible work environment where new ideas are encouraged and everyone is a stakeholder.

What You’ll Be Responsible For

What You’ll Be Responsible For

Circle is looking for a Senior Technical Support Engineer who will provide world-class support to customers building on the Circle Platform and Ecosystem. You will become an expert in helping clients with our API-based products and consulting with external developers. You enjoy the challenge of solving open-ended problems in a timely manner and you are passionate about customer experience. You enjoy building at the earliest stages. You care deeply about contributing and improving company processes, and you enjoy moving at a fast pace, building a long-lasting foundation, and helping customers thrive.

What You’ll Work On

What You’ll Work On



What You’ll Bring To Circle

What You’ll Bring To Circle



Circle is on a mission to create an inclusive financial future, with transparency at our core. We consider a wide variety of elements when crafting our compensation ranges and total compensation packages.

Starting pay is determined by various factors, including but not limited to: relevant experience, skill set, qualifications, and other business and organizational needs. Please note that compensation ranges may differ for candidates in other locations.

We are an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status, or any other protected status required by the laws in the locations where we hire. Additionally, Circle participates in the E-Verify Program in certain locations, as required by law.

equal opportunity employer

Should you require accommodations or assistance in our interview process because of a disability, please reach out to [email protected] for support. We respect your privacy and will connect with you separately from our interview process to accommodate your needs.

","Fintech"
"Area Business Manager – Dublin","Global Payments","https://www.fintechcareers.com/job/41050/area-business-manager-dublin/","Ready to take your career global?

Ready to take your career global?

Make your mark at one of the biggest names in payments. We’re looking for an Area Business Manager in Dublin to join our ever evolving sales and operations team and help shape the future of global commerce.

What You’ll Own

What You’ll Own



What You’ll Bring

What You’ll Bring



It’s a bonus if you have

It’s a bonus if you have



About The Team

About The Team

Our inclusive and global teams win together every day. We’re proud to have the best minds in the industry, who you can learn from as you grow your career. The people, the energy, the connections – it’s unmatched. Come and be part of an ever-evolving company and get dynamic opportunities that go beyond borders.

What makes a Globalpayer?

What makes a Globalpayer?

Globalpayers think like a client, act like an owner and win as one team. We’re curious and innovative – always finding better ways to deliver impact. We empower each other to make decisions, and it’s our passion that drives excellence in everything we set out to do.

Does this sound like you? Then you sound like a Globalpayer. Apply now to take your career global.","Fintech"
"Technical Consultant – Splunk Developer","Murex","https://www.fintechcareers.com/job/40990/technical-consultant-splunk-developer-dublin/","Murex is a global fintech leader in trading, risk management and processing solutions for capital markets.

Operating from our 19 offices, 3 400 Murexians from over 65 different nationalities ensure the development, implementation and support of our platform which is used by banks, asset managers, corporations and utilities, across the world.

Join Murex and work on the challenges of an industry at the forefront of innovation and thrive in a people-centric environment. You’ll be part of one global team where you can learn fast and stay true to yourself.

What You’ll Do

What You’ll Do

You will be working with multiple intelligent friendly teams globally. Learn to take in Big Data and creating some wonderful dashboards and get a massive sense of pride from your work. Interact with multiple tools to keep our release life cycle up and running. You will contribute to the running and maintaining Splunk@Murex to ensure that projects meet organizational standards and user requirements.

As a Splunk Developer

As a Splunk Developer



As a Splunk Tester

As a Splunk Tester



As a Splunk Architect

As a Splunk Architect



Main Requirements

Main Requirements



Why Should You Join Us

Why Should You Join Us

","Fintech"
"PBWM Controls Business Partner Europe","Barclays","https://www.fintechcareers.com/job/41088/pbwm-controls-business-partner-europe-dublin/","Embark on a transformative journey as a Private Bank and Wealth Management (PBWM) Controls Business Partner Europe at Barclays, where your primary objective is to support the management of the Barclays Europe Private Bank control framework, to ensure compliance with regulatory, reputational, control and governance demands, leading to a superior client experience.

The role holder will work closely with stakeholders across multiple Private Bank locations (e.g. Monaco, Switzerland, Dubai and the UK) and work closely with a range of stakeholders across all lines of defence and of varying levels of seniority.

To be successful as a PBWM Controls Business Partner Europe, you should have:

Other Highly Valued Skills Include

Other Highly Valued Skills Include

You may be assessed on the key critical skills relevant for success in role, such as risk and controls, change and transformation, business acumen, strategic thinking and digital and technology, as well as job-specific technical skills.

This role is based in Dublin with a hybrid working model of working a minimum of 3 days per week in the office.

Minimum Salary: €56,000

Minimum Salary: €56,000

The minimum salary information above includes only annual full-time equivalent base salary and typically represents the lowest level of pay for this role. The actual pay rate will reflect the responsibility level of the role and experience level of the individual. It does not include any other type of compensation or benefits that may be available.

Barclays employees are also eligible for a suite of competitive country-specific benefits.

This position is eligible for an incentive award.

Purpose of the role

Purpose of the role

To assess the integrity and effectiveness of the banks internal control framework to support the mitigation of risk and protection of the banks operational, financial, and reputational risk.

Accountabilities

Accountabilities

Assistant Vice President Expectations

Assistant Vice President Expectations

All colleagues will be expected to demonstrate the Barclays Values of Respect, Integrity, Service, Excellence and Stewardship – our moral compass, helping us do what we believe is right. They will also be expected to demonstrate the Barclays Mindset – to Empower, Challenge and Drive – the operating manual for how we behave.","Fintech"
"BPL Financial Crime Compliance Manager (BIP)","Barclays","https://www.fintechcareers.com/job/41089/bpl-financial-crime-compliance-manager-bip-dublin/","We’re seeking an experienced Financial Crime professional with Merchant Acquiring expertise to join our BPL Financial Crime Policy & Advisory team BIP Financial Crime Compliance Team.

This is a Second Line of Defence role responsible for supporting the provision of Financial Crime oversight, advice and challenge across the European Payments Acquiring business. Working closely with stakeholders across the business, Risk and Compliance teams, you will contribute to the effective management of financial crime risks whilst supporting the business in achieving its strategic objectives.

You will provide advisory support on complex Financial Crime matters, contribute to policy and governance activities, support risk assessments and remediation programmes, and help enhance the control environment across the merchant lifecycle.

This role requires a strong understanding of the Financial Crime risks associated with Merchant Acquiring, including customer onboarding, payment facilitators, marketplaces, high-risk merchant sectors, transaction flows, sanctions exposure, fraud typologies and evolving regulatory expectations in a European context.

This is an exciting opportunity to develop your Financial Crime expertise within a dynamic Merchant Acquiring environment. You’ll gain exposure to a wide range of Financial Crime risks, work alongside experienced subject matter experts, and play an important role in strengthening the control environment that supports our European merchant acquiring business.

You’ll have the opportunity to influence risk outcomes, contribute to strategic initiatives and build specialist expertise in one of the fastest-evolving areas of financial services.

Key Accountabilities

To be successful as a BPL Financial Crime Compliance Manager (BIP), you should have:

Some Other Highly Valued Skills May Include

Some Other Highly Valued Skills May Include

This role will be based in Dublin.

Barclays’ payments acceptance business provides critical infrastructure, processing billions of pounds of payments annually for both small businesses and domestic and international corporate clients.

In April 2025, we announced a long-term partnership with Brookfield Asset Management to grow and transform the payments acceptance business by broadening the range of services offered, enhancing the experience for both existing and prospective clients. Leveraging extensive client relationships and deep experience of UK payments, we will create an environment of continuous innovation – activated by Brookfield’s global private equity expertise in payments, technology, operational transformation and corporate carve-outs – to ensure the business is strategically positioned for long-term growth.

Barclays will invest approximately £400m in the new business, the majority of which will be incurred during the first three years. Performance-linked incentives will drive greater alignment between the partners, underpinning the long-term commitment to the transformation. Barclays and Brookfield will work to create a standalone entity over time, continuing to use the Barclaycard Payments brand and acting as the sole payments acceptance services provider to Barclays’ clients for a minimum of ten years.

For more information on our partnership with Brookfield (programme ‘Gaia’), please visit Barclays.com.

This role is deemed as a Controlled Function role under the Central Bank of Ireland Fitness and Probity Regulations and may require the role holder to hold mandatory regulatory qualifications or the minimum qualifications to meet internal company benchmarks.

Entry Salary: €60,000

Upper Salary: €84,500

The entry and upper salary information above includes only annual full-time equivalent base salary and represents the typical range of pay for the role. The actual pay rate will reflect the responsibility level of the role and experience level of the individual. The entry and upper salary information does not include any other type of compensation or benefits that may be available.

Barclays employees are also eligible for a suite of competitive country-specific benefits.

This position is eligible for an incentive award.

Purpose of the role

Purpose of the role

To provide data-led expert oversight and check and challenge on business and compliance matters to evidence that the organisation is operating in a compliance with Barclays legal, regulatory and ethical responsibilities.

Accountabilities

Accountabilities

Assistant Vice President Expectations

Assistant Vice President Expectations

All colleagues will be expected to demonstrate the Barclays Values of Respect, Integrity, Service, Excellence and Stewardship – our moral compass, helping us do what we believe is right. They will also be expected to demonstrate the Barclays Mindset – to Empower, Challenge and Drive – the operating manual for how we behave.","Fintech"
"Senior Full-Stack Engineer","StoneX Group","https://www.fintechcareers.com/job/40345/senior-full-stack-engineer-dublin/","Overview

Overview

Connecting clients to markets – and talent to opportunity.

Connecting clients to markets – and talent to opportunity.

With 5,400+ employees and over 80,000 institutional, commercial, and payments clients, we operate from more than 80 offices spread across six continents. As a Fortune 100, Nasdaq-listed provider, we connect clients to the global markets – focusing on innovation, human connection, and providing world-class products and services to all types of investors.

Whether you want to forge a career connecting our retail clients to potential trading opportunities, or ingrain yourself in the world of institutional investing, StoneX Group is made up of four business segments that offer endless potential for progression and growth.

Corporate:  Engage in a deep variety of business-critical activities that keep our company running efficiently. From strategic marketing and financial management to human resources and operational oversight, you’ll have the opportunity to optimize processes and implement game-changing policies.

Corporate:

Responsibilities

Responsibilities

Position Purpose: You’ll build the interactive, AI-augmented interfaces that bring the Risk & AI Vertical’s risk intelligence to life. This is where clients explore their budgets, financial and physical positions, run scenarios, and act on hedge recommendations from the Strategy Builder and KnowRisk — so your work turns dense, personalized risk data into intuitive visual experiences across every Nexus surface (web + mobile).

Position Purpose:

The role is frontend-led, with some backend work to help shape and consume the APIs and data feeds behind the UI. You’ll partner closely with the Intelligent Risk team (risk modelling) and the Intelligence Weaving team (embeddable widgets and personalization), along with product, design and QA, and you’ll have real ownership over the quality and direction of the risk front-end.

Technical Ecosystem

Technical Ecosystem



Primary Duties Will Include

Primary Duties Will Include



Qualifications

Qualifications

To Land this role you will need

To Land this role you will need



What makes you stand out:

What makes you stand out:



Education

Education



Working Environment

Working Environment

","Fintech"
"Procurement Category Manager","Fenergo","https://www.fintechcareers.com/job/40482/procurement-category-manager-dublin-2/","About Us

About Us

We are a global FinTech & RegTech success story scaling rapidly across North America, Europe, and Asia. With industry-leading products, deep client trust, and strong commercial momentum, Fenergo is shaping the future of digital client lifecycle management and regulatory transformation.

As we continue to scale, the sophistication of our vendor ecosystem, technology stack, and spend profile has increased substantially. Our Strategic Procurement & Value Management (SP&VM) function is newly established and growing — a next-generation procurement capability that is strategic, insight-led, commercially sharp, and tightly aligned to our legal, financial, risk, and operational governance model. Built with CFO backing and a clear operating model, SP&VM’s mandate is not simply to reduce cost — it is to maximise the return on external spend, drive commercial rigour, build vendor partnerships, support scalable growth, and help drive business decisions.

The Opportunity

The Opportunity

We are looking for a commercially sharp Procurement Category Manager to join the SP&VM team in Dublin. This is a pivotal hire: someone who can deliver tangible cost and value outcomes today, while helping to build the systems, disciplines, and relationships that will define a world-class procurement function tomorrow.

The world’s leading CPOs are unanimous: procurement mandate has shifted from cost centre to strategic enabler. At Fenergo, we are building a function that reflects exactly that — and this role is central to it. You will work across the full cycle of category management, from spend analysis and sourcing strategy through commercial negotiations and contract governance, with direct exposure to Finance, Legal, and senior leadership.

You will bring both the commercial discipline to deliver near-term savings and the curiosity and judgement to help shape what comes next.

What You’ll Do

What You’ll Do

Category Strategy & Sourcing

Category Strategy & Sourcing



Commercial Negotiations & Contract Management

Commercial Negotiations & Contract Management



Supplier Relationship Management & Resilience

Supplier Relationship Management & Resilience



Stakeholder Partnering & Governance

Stakeholder Partnering & Governance



Requirements

Requirements

Experience & Skills (Essential)

Experience & Skills (Essential)



The Person (Essential)

The Person (Essential)

We hire for the future, not just for today. Beyond technical procurement skills, we are looking for someone who brings:

Desirable

Desirable



What Success Looks Like

What Success Looks Like

In your first year, success means:

Benefits

Benefits

What’s in it for you?

What’s in it for you?

(Ireland)

(Ireland)



Diversity, Equality, and Inclusivity

Diversity, Equality, and Inclusivity

Fenergo is an equal opportunity employer. We are committed to creating a diverse and inclusive workplace, where all employees are valued, respected, and can reach their full potential. We do not discriminate based on race, colour, religion, sex, national origin, age, disability, or any other characteristic protected by applicable law. Our hiring decisions are based solely on qualifications, merit, and business needs. We believe that a diverse workforce enriches our company culture, fosters innovation, and contributes to our overall success. We strive to provide a fair and supportive environment for all employees, promoting equal opportunities for career development and advancement. We encourage all qualified individuals to apply for employment opportunities and join our team in contributing to a collaborative and inclusive work environment.","Fintech"
"Treasurer","AvaTrade","https://www.fintechcareers.com/job/40363/treasurer-dublin/","We are looking for an experienced and detail-oriented Treasurer to join our Finance team. In this role, you will be responsible for managing the Company’s day-to-day treasury activities, ensuring sufficient liquidity, overseeing banking operations, cash flow management, payment processes, and foreign exchange exposure across multiple global entities. You will work closely with Finance, Accounting, Compliance, and external banking partners to support the Company’s financial operations while ensuring compliance with internal policies and regulatory requirements.

Treasurer

Responsibilities:

Requirements:

At least 5–7 years of experience as a Treasurer

NetSuite","Fintech"
"Sales Development Change Management Specialist","Stripe","https://www.fintechcareers.com/job/39650/sales-development-change-management-specialist-dublin-2/","Who we are

About Stripe

About Stripe

Stripe is a financial infrastructure platform for businesses. Millions of companies – from the world’s largest enterprises to the most ambitious startups – use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career.

About The Team

About The Team

The Global Sales Enablement Team is responsible for partnering with cross-functional teams to equip our sales organizations with the skills, tools, and knowledge they need to perform at their best. We are currently leading one of the most significant transformations in Stripe’s Sales history — reshaping how Sales Development operates through the adoption of AI-powered tooling and redesigning the SDR’s role in driving pipeline quality. This transformation spans multiple geographies, sales motions, and hundreds of sellers. The stakes are high, the pace is fast, and the change management challenge is real.

What you’ll do

As a Sales Development Change Management Specialist, you will own the strategy and execution of our global change management and communications program for the Sales Development transformation. You sit at the intersection of strategy, content, and field engagement — responsible for ensuring that complex, high-priority initiatives are adopted at pace and land durably in the field. This is not a support role. You own the change narrative, the communication strategy, and the measurement of adoption. You’ll partner with senior program leadership, subject matter experts, and regional enablement leads to drive consistent, high-impact transformation across a global sales organization.

Responsibilities

Responsibilities



Who you are

We’re looking for someone who meets the minimum requirements to be considered for the role. If you meet these requirements, you are encouraged to apply. The preferred qualifications are a bonus, not a requirement.

Minimum Requirements

Minimum Requirements



Preferred Qualifications

Preferred Qualifications



In-office expectations

Office-assigned Stripes in most of our locations are currently expected to spend at least 50% of the time in a given month in their local office or with users. This expectation may vary depending on role, team and location. For example, Stripes in Stripe Delivery Center roles in Mexico City, Mexico, Bengaluru, India, and Dublin, Ireland work 100% from the office. Also, some teams have greater in-office attendance requirements, to appropriately support our users and workflows, which the hiring manager will discuss. This approach helps strike a balance between bringing people together for in-person collaboration and learning from each other, while supporting flexibility when possible.

Pay and benefits

The annual US base salary range for this role is $156,700 – $235,100. For sales roles, the range provided is the role’s On Target Earnings (“OTE”) range, meaning that the range includes both the sales commissions/sales bonuses target and annual base salary for the role. This salary range may be inclusive of several career levels at Stripe and will be narrowed during the interview process based on a number of factors, including the candidate’s experience, qualifications, and location. Applicants interested in this role and who are not located in the US may request the annual salary range for their location during the interview process.

Additional benefits for this role may include: equity, company bonus or sales commissions/bonuses; 401(k) plan; medical, dental, and vision benefits; and wellness stipends.","Fintech"
"Risk Manager","Remitly","https://www.fintechcareers.com/job/39766/risk-manager-dublin/","Job Description:

Job Description:

At Remitly, we believe everyone deserves the freedom to access, move, and manage their money wherever life takes them. Since 2011, we’ve tirelessly delivered on our promise to customers sending money globally, providing secure, simple, and reliable ways to manage their money, ensuring true peace of mind. Whether it’s supporting loved ones back home, growing a business across continents, or pursuing new opportunities abroad, we’re not just here to move money— we’re here to move our global customers forward.

We’re looking for builders, reimaginers, and global thinkers who want to work at the intersection of technology, trust, and transformation. If that’s you and you’re ready to do the most meaningful work of your career—we invite you to join over 2,800 passionate Remitlians worldwide who are united by our vision to transform lives with trusted financial services that transcend borders.

About the Role:

About the Role:

Remitly Europe Limited (REL) is authorised and regulated by the Central Bank of Ireland under PSD2, passporting payment services across the EEA as part of Remitly’s global mission. We’re looking for an experienced Risk Manager to strengthen REL’s second-line enterprise risk function in Dublin, reporting directly to the Chief Risk Officer and acting as their deputy. This role sits at the heart of REL’s governance framework, playing a critical part in ensuring risk is identified, assessed, managed, and reported in line with CBI regulatory expectations, the Individual Accountability Framework, and applicable EU requirements including PSD2, EBA Guidelines, and DORA. You’ll work closely with the CRO, Compliance, Internal Audit, and senior business leadership to embed a robust risk culture across the organisation.

You Will:

You Will:



You Have:

You Have:



Compensation Details. The starting base salary range for this position is typically €96,000 – €120,000. In Ireland, Remitly employees are shareholders in our Company and equity is part of our total compensation plan. Your recruiter can share more information about medical benefits offered, as well as other financial benefits and total compensation components offered with this role.

Compensation Details.

Our Benefits:

Our Benefits:



Our Connected Work Culture: Driving Innovation, Together

Our Connected Work Culture: Driving Innovation, Together

At Remitly, we believe that true innovation sparks when we come together. Our Connected Work Culture fosters dynamic in-person collaboration, where ideas ignite and challenging problems find solutions faster. For corporate team members, we have an in-office expectation of at least 50% of the time monthly, typically achieved by coming in three days a week. This creates a consistent, meaningful overlap that supports team norms and business needs. Managers also have the flexibility to set higher expectations based on their team’s specific needs. These intentional in-office moments are vital for deepening relationships, fueling creativity, and ensuring your impact is felt where it matters most.

Remitly is an E-Verify Employer

Remitly is an E-Verify Employer

At Remitly, we are dedicated to ensuring that our workplace offers equal employment opportunities to all employees and candidates, in full compliance with applicable laws and regulations.

Remitly is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.","Fintech"
